id,name,longitude,latitude,status
350,Clinton St & Grand St,-73.9870295,40.71559509,active
351,Front St & Maiden Ln,-74.00612572,40.70530954,active
353,S Portland Ave & Hanson Pl,-73.97431458,40.68539567,active
354,Emerson Pl & Myrtle Ave,-73.96223558,40.69363137,active
355,Bayard St & Baxter St,-73.99974372,40.71602118,active
356,Bialystoker Pl & Delancey St,-73.98261206,40.71622644,active
358,Christopher St & Greenwich St,-74.00711384,40.73291553,active
359,E 47 St & Park Ave,-73.97498696,40.75510267,active
360,William St & Pine St,-74.00887308,40.70717936,active
361,Allen St & Hester St,-73.99190759,40.71605866,active
362,Broadway & W 37 St,-73.98753523,40.75172632,active
363,West Thames St,-74.01713445,40.70834698,out_of_service
364,Lafayette Ave & Classon Ave,-73.96023854,40.68900443,active
366,Clinton Ave & Myrtle Ave,-73.968896,40.693261,active
367,E 53 St & Lexington Ave,-73.97069431,40.75828065,active
368,Carmine St & 6 Ave,-74.00214988,40.73038599,active
369,Washington Pl & 6 Ave,-74.00026394,40.73224119,active
372,Franklin Ave & Myrtle Ave,-73.95801365375519,40.694546087246025,active
373,Willoughby Ave & Walworth St,-73.95381995,40.69331716,active
376,John St & William St,-74.00722156,40.70862144,active
377,6 Ave & Canal St,-74.00566443,40.72243797,active
379,W 31 St & 7 Ave,-73.9916,40.749156,active
380,W 4 St & 7 Ave S,-74.00293877,40.73401143,active
383,Greenwich Ave & Charles St,-74.000271,40.735238,active
385,E 55 St & 2 Ave,-73.96603308,40.75797322,active
386,Centre St & Worth St,-74.00234482,40.71494807,active
387,Centre St & Chambers St,-74.0046073,40.71273266,active
388,W 26 St & 10 Ave,-74.002950346,40.749717753,active
389,Broadway & Berry St,-73.96525063,40.71044554,active
390,Duffield St & Willoughby St,-73.9842844,40.69221589,active
391,Clark St & Henry St,-73.99344559,40.69760127,active
392,Jay St & Tech Pl,-73.987167,40.695065,active
393,E 5 St & Avenue C,-73.97995466,40.72299208,active
394,E 9 St & Avenue C,-73.97768752,40.72521311,out_of_service
396,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423,active
397,Fulton St & Clermont Ave,-73.96922273,40.68415748,active
398,Atlantic Ave & Furman St,-73.9999786,40.69165183,active
399,Lafayette Ave & St James Pl,-73.9647628,40.68851534,active
400,Pitt St & Stanton St,-73.98178024,40.71926081,active
401,Allen St & Rivington St,-73.98997825,40.72019576,active
402,Broadway & E 22 St,-73.98955109,40.7403432,active
403,E 2 St & 2 Ave,-73.99069656,40.72502876,active
405,Washington St & Gansevoort St,-74.008119,40.739323,active
406,Hicks St & Montague St,-73.99595065,40.69512845,active
408,Market St & Cherry St,-73.99400398,40.71076228,active
410,Suffolk St & Stanton St,-73.98517977,40.72066442,active
411,E 6 St & Avenue D,-73.97668709,40.72228087,active
412,Forsyth St & Canal St,-73.99422366,40.7158155,active
415,Pearl St & Hanover Square,-74.00926027,40.7047177,active
416,Cumberland St & Lafayette Ave,-73.97265183,40.68753406,active
417,Barclay St & Church St,-74.01020234,40.71291224,active
418,Front St & Gold St,-73.982578,40.70224,active
419,Carlton Ave & Park Ave,-73.97355569,40.69580705,active
420,Clermont Ave & Lafayette Ave,-73.96968902,40.68764484,active
421,Clermont Ave & Park Ave,-73.97129668,40.69573398,active
422,W 59 St & 10 Ave,-73.988038,40.770513,active
423,W 54 St & 9 Ave,-73.98690506,40.76584941,active
426,West St & Chambers St,-74.01322069,40.71754834,active
427,Bus Slip & State St,-74.013942,40.701907,active
432,E 7 St & Avenue A,-73.98379855,40.72621788,active
434,9 Ave & W 18 St,-74.00366443,40.74317449,active
435,W 21 St & 6 Ave,-73.99415556,40.74173969,active
436,Hancock St & Bedford Ave,-73.95399026,40.68216564,active
437,Macon St & Nostrand Ave,-73.9500479759,40.6809833854,active
438,St Marks Pl & 1 Ave,-73.98564945,40.72779126,active
439,E 4 St & 2 Ave,-73.98978041,40.7262807,active
440,E 45 St & 3 Ave,-73.97282625,40.75255434,active
442,W 27 St & 7 Ave,-73.993915,40.746647,active
443,Bedford Ave & S 9 St,-73.96408963,40.70853074,active
445,E 10 St & Avenue A,-73.98142006,40.72740794,active
446,W 24 St & 7 Ave,-73.99529885,40.74487634,active
447,8 Ave & W 52 St,-73.9851615,40.76370739,active
