id,month,count
151,2019-06-01 00:00:00,8649
151,2019-07-01 00:00:00,8837
151,2019-08-01 00:00:00,10813
151,2019-09-01 00:00:00,10659
151,2019-10-01 00:00:00,8655
151,2019-11-01 00:00:00,5840
151,2019-12-01 00:00:00,3620
157,2019-01-01 00:00:00,1178
157,2019-02-01 00:00:00,1129
157,2019-03-01 00:00:00,1432
157,2019-04-01 00:00:00,1842
157,2019-05-01 00:00:00,1966
157,2019-06-01 00:00:00,2229
157,2019-07-01 00:00:00,2157
157,2019-08-01 00:00:00,2162
157,2019-09-01 00:00:00,2248
157,2019-10-01 00:00:00,1894
157,2019-11-01 00:00:00,1447
157,2019-12-01 00:00:00,982
161,2019-01-01 00:00:00,2246
161,2019-02-01 00:00:00,2602
161,2019-03-01 00:00:00,3571
161,2019-04-01 00:00:00,5124
161,2019-05-01 00:00:00,5100
161,2019-06-01 00:00:00,5277
161,2019-07-01 00:00:00,5552
161,2019-08-01 00:00:00,5981
161,2019-09-01 00:00:00,7477
161,2019-10-01 00:00:00,6358
161,2019-11-01 00:00:00,4368
161,2019-12-01 00:00:00,2631
164,2019-01-01 00:00:00,1905
164,2019-02-01 00:00:00,1862
164,2019-03-01 00:00:00,2359
164,2019-04-01 00:00:00,3221
164,2019-05-01 00:00:00,3378
164,2019-06-01 00:00:00,3356
164,2019-07-01 00:00:00,3939
164,2019-08-01 00:00:00,4305
164,2019-09-01 00:00:00,4724
164,2019-10-01 00:00:00,4046
164,2019-11-01 00:00:00,3070
164,2019-12-01 00:00:00,1735
167,2019-01-01 00:00:00,2849
167,2019-02-01 00:00:00,2663
167,2019-03-01 00:00:00,3524
167,2019-04-01 00:00:00,4645
167,2019-05-01 00:00:00,4946
167,2019-06-01 00:00:00,5042
167,2019-07-01 00:00:00,4811
167,2019-08-01 00:00:00,5749
167,2019-09-01 00:00:00,5880
167,2019-10-01 00:00:00,5474
167,2019-11-01 00:00:00,4043
167,2019-12-01 00:00:00,2663
168,2019-01-01 00:00:00,3846
168,2019-02-01 00:00:00,3738
168,2019-03-01 00:00:00,5001
168,2019-04-01 00:00:00,6147
168,2019-05-01 00:00:00,7376
168,2019-06-01 00:00:00,9617
168,2019-07-01 00:00:00,8277
168,2019-08-01 00:00:00,9446
168,2019-09-01 00:00:00,9737
168,2019-10-01 00:00:00,7858
168,2019-11-01 00:00:00,5161
168,2019-12-01 00:00:00,3661
173,2019-01-01 00:00:00,3733
173,2019-02-01 00:00:00,3701
173,2019-03-01 00:00:00,4738
173,2019-04-01 00:00:00,6330
173,2019-05-01 00:00:00,6545
173,2019-06-01 00:00:00,6541
173,2019-07-01 00:00:00,7226
173,2019-08-01 00:00:00,7581
173,2019-09-01 00:00:00,7876
173,2019-10-01 00:00:00,7301
173,2019-11-01 00:00:00,5392
173,2019-12-01 00:00:00,3233
174,2019-01-01 00:00:00,2400
174,2019-02-01 00:00:00,2445
174,2019-03-01 00:00:00,2928
174,2019-04-01 00:00:00,3660
174,2019-05-01 00:00:00,3536
174,2019-06-01 00:00:00,3612
174,2019-07-01 00:00:00,3789
174,2019-08-01 00:00:00,3695
174,2019-09-01 00:00:00,4871
174,2019-10-01 00:00:00,4499
174,2019-11-01 00:00:00,3583
174,2019-12-01 00:00:00,2321
195,2019-01-01 00:00:00,2559
195,2019-02-01 00:00:00,2340
195,2019-03-01 00:00:00,2966
195,2019-04-01 00:00:00,3881
195,2019-05-01 00:00:00,4325
195,2019-06-01 00:00:00,4356
195,2019-07-01 00:00:00,4365
195,2019-08-01 00:00:00,5358
195,2019-09-01 00:00:00,5868
195,2019-10-01 00:00:00,5015
195,2019-11-01 00:00:00,3653
195,2019-12-01 00:00:00,2305
212,2019-01-01 00:00:00,2280
212,2019-02-01 00:00:00,2209
212,2019-03-01 00:00:00,3447
212,2019-04-01 00:00:00,5184
212,2019-05-01 00:00:00,5443
212,2019-06-01 00:00:00,6279
212,2019-07-01 00:00:00,6021
212,2019-08-01 00:00:00,6325
212,2019-09-01 00:00:00,6666
212,2019-10-01 00:00:00,5421
212,2019-11-01 00:00:00,3616
212,2019-12-01 00:00:00,2091
216,2019-01-01 00:00:00,341
216,2019-02-01 00:00:00,318
216,2019-03-01 00:00:00,562
216,2019-04-01 00:00:00,782
216,2019-05-01 00:00:00,1012
216,2019-06-01 00:00:00,989
216,2019-07-01 00:00:00,987
216,2019-08-01 00:00:00,1112
216,2019-09-01 00:00:00,1231
216,2019-10-01 00:00:00,863
216,2019-11-01 00:00:00,485
216,2019-12-01 00:00:00,311
217,2019-01-01 00:00:00,832
217,2019-02-01 00:00:00,899
217,2019-03-01 00:00:00,1921
217,2019-04-01 00:00:00,3407
217,2019-05-01 00:00:00,4245
217,2019-06-01 00:00:00,4829
217,2019-07-01 00:00:00,4285
217,2019-08-01 00:00:00,5281
217,2019-09-01 00:00:00,4955
217,2019-10-01 00:00:00,3204
217,2019-11-01 00:00:00,1623
217,2019-12-01 00:00:00,892
223,2019-01-01 00:00:00,2770
223,2019-02-01 00:00:00,2858
223,2019-03-01 00:00:00,3975
223,2019-04-01 00:00:00,5240
223,2019-05-01 00:00:00,5512
223,2019-06-01 00:00:00,5418
223,2019-07-01 00:00:00,5478
223,2019-08-01 00:00:00,6100
223,2019-09-01 00:00:00,7273
223,2019-10-01 00:00:00,6489
223,2019-11-01 00:00:00,4545
223,2019-12-01 00:00:00,2818
224,2019-01-01 00:00:00,9
224,2019-02-01 00:00:00,835
224,2019-03-01 00:00:00,1378
224,2019-04-01 00:00:00,2334
224,2019-05-01 00:00:00,2573
224,2019-06-01 00:00:00,2559
224,2019-07-01 00:00:00,2902
224,2019-08-01 00:00:00,3162
224,2019-09-01 00:00:00,3793
224,2019-10-01 00:00:00,2995
224,2019-11-01 00:00:00,1951
224,2019-12-01 00:00:00,1144
228,2019-01-01 00:00:00,1642
228,2019-02-01 00:00:00,1589
228,2019-03-01 00:00:00,1850
228,2019-04-01 00:00:00,2577
